('56', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 1.0)
('449', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('449', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('449', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('449', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('449', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('449', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('449', '163db1bff3177505d4d588012644783685814cca', 0.0)
('449', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('449', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('449', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('449', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('449', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('449', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('449', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('449', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('449', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('449', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('449', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('449', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('449', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('449', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('449', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('449', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('449', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('449', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('449', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('449', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('449', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('449', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('449', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('449', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('449', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('449', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('449', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('449', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('449', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('449', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('449', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('449', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('449', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('449', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('449', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('449', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('449', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('443', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('443', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('443', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('443', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('443', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('443', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('443', '163db1bff3177505d4d588012644783685814cca', 0.0)
('443', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('443', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('443', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('443', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
