('75', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.6274078322116026)
('76', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.37748647316022554)
('100', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.3409391187433485)
('96', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.32070431611156236)
('35', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.2823840503829369)
('1', '65712d130369824da9d0033a82d240b1d0066833', 0.263656457926772)
('63', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.25902484706854956)
('7', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.25635876065772145)
('37', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.24441565635377302)
('16', '978fe132667a8d39664c50f674f71c86ade8a169', 0.2432988372285879)
('44', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.24131409760004294)
('98', '4db56105d66911de5157080c911521c2c2176cfb', 0.2409933070233151)
('1', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.22459116212776187)
('1', '978fe132667a8d39664c50f674f71c86ade8a169', 0.18545128533656471)
('83', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.18520837202819732)
('1', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.17939418377949)
('42', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.17853711693534655)
('1', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.1722904645932129)
('39', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.17025860659754963)
('1', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.15512905150880202)
('4', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.1470497948004142)
('1', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.1445596318169006)
('1', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.1295293652255811)
('1', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.12783880379055546)
('1', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.1276641946453154)
('1', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.11501728755931491)
('94', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.11424684697172362)
('1', '78beb9439d1a1604efc119846467086ab863e0a7', 0.10434770075492045)
('1', 'af98b91a1ab60460b67028e348263024c496dafb', 0.10159661793571634)
('1', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.09642910462841753)
('1', '4db56105d66911de5157080c911521c2c2176cfb', 0.08889274289306462)
('87', '65712d130369824da9d0033a82d240b1d0066833', 0.08576068566276022)
('68', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.07922912596595129)
('1', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.07675386136879721)
('1', '556696580fe93fe788726ceced18cbb4671e651b', 0.07576081992626502)
('16', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.06610167844906895)
('1', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.06590698748467767)
('1', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.06496751381859625)
('1', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0646137698662474)
('47', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.057747001518575224)
('46', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.05224865768419228)
('46', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.04942794372842283)
('1', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.048137147502027945)
('1', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.046345870941622735)
('47', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.043568734324953576)
('73', '78beb9439d1a1604efc119846467086ab863e0a7', 0.03841930640242827)
('20', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0314686478408029)
('1', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.028926336122182983)
('1', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.028821599534929326)
('1', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.028705533734540607)
('1', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.02045694787347211)
('98', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.015434977160421972)
('1', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.011552955399650188)
('20', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0020742534945765046)
('96', '4db56105d66911de5157080c911521c2c2176cfb', -0.003209838373627276)
('65', 'b9620454280c4e7f3efb430af69667dc05ac48e3', -0.007250750651864987)
('1', 'e537644437c42b179c0f4bec95435689547aa1cc', -0.013585426120774687)
('63', '3aad354866f70d5b18988a81fc1d07895c854a0a', -0.017683199996813868)
('22', '556696580fe93fe788726ceced18cbb4671e651b', -0.020994632862230637)
('99', '443742ab606d5ceffd920702fcede7ff13b17a71', -0.02607663603281434)
('65', '3aad354866f70d5b18988a81fc1d07895c854a0a', -0.05396150204307111)
('54', '74d37c477e658038c51df7c15a8ba04095e1639f', -0.05801638391090764)
